Date,Value
2017-03-03,1.45
2017-03-02,1.438
2017-03-01,1.455
2017-02-28,1.549
2017-02-27,1.57
2017-02-24,1.545
2017-02-23,1.548
2017-02-22,1.534
2017-02-21,1.512
2017-02-17,1.525
2017-02-16,1.539
2017-02-15,1.565
2017-02-14,1.552
2017-02-13,1.556
2017-02-10,1.581
2017-02-09,1.564
2017-02-08,1.546
2017-02-07,1.483
2017-02-06,1.508
2017-02-03,1.561
2017-02-02,1.567
2017-02-01,1.605
2017-01-31,1.555
2017-01-30,1.528
2017-01-27,1.556
2017-01-26,1.57
2017-01-25,1.552
2017-01-24,1.594
2017-01-23,1.6
2017-01-20,1.606
2017-01-19,1.579
2017-01-18,1.594
2017-01-17,1.644
2017-01-13,1.654
2017-01-12,1.659
2017-01-11,1.635
2017-01-10,1.577
2017-01-09,1.615
2017-01-06,1.68
2017-01-05,1.695
2017-01-04,1.697
2017-01-03,1.682
2016-12-30,1.722
2016-12-29,1.729
2016-12-28,1.739
2016-12-27,1.711
2016-12-23,1.674
2016-12-22,1.66
2016-12-21,1.66
2016-12-20,1.658
2016-12-19,1.622
2016-12-16,1.623
2016-12-15,1.599
2016-12-14,1.59
2016-12-13,1.604
2016-12-12,1.598
2016-12-09,1.559
2016-12-08,1.561
2016-12-07,1.565
2016-12-06,1.584
2016-12-05,1.605
2016-12-02,1.606
2016-12-01,1.6
2016-11-30,1.536
2016-11-29,1.438
2016-11-28,1.464
2016-11-25,1.479
2016-11-23,1.479
2016-11-22,1.458
2016-11-21,1.455
2016-11-18,1.393
2016-11-17,1.393
2016-11-16,1.375
2016-11-15,1.397
2016-11-14,1.385
2016-11-11,1.404
2016-11-10,1.445
2016-11-09,1.478
2016-11-08,1.487
2016-11-07,1.48
2016-11-04,1.499
2016-11-03,1.545
2016-11-02,1.58
2016-11-01,1.522
2016-10-31,1.498
2016-10-28,1.524
2016-10-27,1.532
2016-10-26,1.533
2016-10-25,1.541
2016-10-24,1.539
2016-10-21,1.574
2016-10-20,1.538
2016-10-19,1.552
2016-10-18,1.542
2016-10-17,1.539
2016-10-14,1.541
2016-10-13,1.52
2016-10-12,1.479
2016-10-11,1.501
2016-10-10,1.473
2016-10-07,1.473
2016-10-06,1.492
2016-10-05,1.519
2016-10-04,1.534
2016-10-03,1.51
2016-09-30,1.498
2016-09-29,1.53
2016-09-28,1.528
2016-09-27,1.454
2016-09-26,1.418
2016-09-23,1.418
2016-09-22,1.434
2016-09-21,1.44
2016-09-20,1.409
2016-09-19,1.501
2016-09-16,1.549
2016-09-15,1.432
2016-09-14,1.383
2016-09-13,1.394
2016-09-12,1.439
2016-09-09,1.424
2016-09-08,1.463
2016-09-07,1.415
2016-09-06,1.384
2016-09-02,1.38
2016-09-01,1.37
2016-08-31,1.336
2016-08-30,1.372
2016-08-29,1.395
2016-08-26,1.422
2016-08-25,1.414
2016-08-24,1.396
2016-08-23,1.416
2016-08-22,1.47
2016-08-19,1.497
2016-08-18,1.476
2016-08-17,1.439
2016-08-16,1.408
2016-08-15,1.387
2016-08-12,1.358
2016-08-11,1.342
2016-08-10,1.278
2016-08-09,1.314
2016-08-08,1.332
2016-08-05,1.359
2016-08-04,1.347
2016-08-03,1.343
2016-08-02,1.298
2016-08-01,1.307
2016-07-29,1.323
2016-07-28,1.298
2016-07-27,1.317
2016-07-26,1.343
2016-07-25,1.32
2016-07-22,1.331
2016-07-21,1.32
2016-07-20,1.329
2016-07-19,1.341
2016-07-18,1.351
2016-07-15,1.387
2016-07-14,1.366
2016-07-13,1.376
2016-07-12,1.376
2016-07-11,1.336
2016-07-08,1.328
2016-07-07,1.324
2016-07-06,1.4
2016-07-05,1.358
