,Date,price,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10
0,9/13/11,5.93,5.59,5.09,4.85,4.87,4.84,4.9,5.39,5.71,5.7,5.71
1,9/14/11,5.59,5.09,4.85,4.87,4.84,4.9,5.39,5.71,5.7,5.71,5.72
2,9/15/11,5.09,4.85,4.87,4.84,4.9,5.39,5.71,5.7,5.71,5.72,6.05
3,9/16/11,4.85,4.87,4.84,4.9,5.39,5.71,5.7,5.71,5.72,6.05,5.98
4,9/17/11,4.87,4.84,4.9,5.39,5.71,5.7,5.71,5.72,6.05,5.98,4.9
5,9/18/11,4.84,4.9,5.39,5.71,5.7,5.71,5.72,6.05,5.98,4.9,4.86
6,9/19/11,4.9,5.39,5.71,5.7,5.71,5.72,6.05,5.98,4.9,4.86,4.82
7,9/20/11,5.39,5.71,5.7,5.71,5.72,6.05,5.98,4.9,4.86,4.82,4.85
8,9/21/11,5.71,5.7,5.71,5.72,6.05,5.98,4.9,4.86,4.82,4.85,4.92
9,9/22/11,5.7,5.71,5.72,6.05,5.98,4.9,4.86,4.82,4.85,4.92,5.03
10,9/23/11,5.71,5.72,6.05,5.98,4.9,4.86,4.82,4.85,4.92,5.03,4.91
11,9/24/11,5.72,6.05,5.98,4.9,4.86,4.82,4.85,4.92,5.03,4.91,4.69
12,9/25/11,6.05,5.98,4.9,4.86,4.82,4.85,4.92,5.03,4.91,4.69,4.46
13,9/26/11,5.98,4.9,4.86,4.82,4.85,4.92,5.03,4.91,4.69,4.46,3.89
14,9/27/11,4.9,4.86,4.82,4.85,4.92,5.03,4.91,4.69,4.46,3.89,4.5
15,9/28/11,4.86,4.82,4.85,4.92,5.03,4.91,4.69,4.46,3.89,4.5,4.0
16,9/29/11,4.82,4.85,4.92,5.03,4.91,4.69,4.46,3.89,4.5,4.0,3.94
20,10/3/11,4.85,4.92,5.03,4.91,4.69,4.46,3.89,4.5,4.0,3.94,3.95
21,10/4/11,4.92,5.03,4.91,4.69,4.46,3.89,4.5,4.0,3.94,3.95,4.05
22,10/5/11,5.03,4.91,4.69,4.46,3.89,4.5,4.0,3.94,3.95,4.05,3.92
23,10/6/11,4.91,4.69,4.46,3.89,4.5,4.0,3.94,3.95,4.05,3.92,2.25
24,10/7/11,4.69,4.46,3.89,4.5,4.0,3.94,3.95,4.05,3.92,2.25,2.24
25,10/8/11,4.46,3.89,4.5,4.0,3.94,3.95,4.05,3.92,2.25,2.24,2.93
26,10/9/11,3.89,4.5,4.0,3.94,3.95,4.05,3.92,2.25,2.24,2.93,2.69
27,10/10/11,4.5,4.0,3.94,3.95,4.05,3.92,2.25,2.24,2.93,2.69,2.68
28,10/11/11,4.0,3.94,3.95,4.05,3.92,2.25,2.24,2.93,2.69,2.68,3.76
29,10/12/11,3.94,3.95,4.05,3.92,2.25,2.24,2.93,2.69,2.68,3.76,3.87
30,10/13/11,3.95,4.05,3.92,2.25,2.24,2.93,2.69,2.68,3.76,3.87,3.67
31,10/14/11,4.05,3.92,2.25,2.24,2.93,2.69,2.68,3.76,3.87,3.67,3.29
34,10/17/11,3.92,2.25,2.24,2.93,2.69,2.68,3.76,3.87,3.67,3.29,3.32
37,10/20/11,2.25,2.24,2.93,2.69,2.68,3.76,3.87,3.67,3.29,3.32,3.33
38,10/21/11,2.24,2.93,2.69,2.68,3.76,3.87,3.67,3.29,3.32,3.33,3.13
41,10/24/11,2.93,2.69,2.68,3.76,3.87,3.67,3.29,3.32,3.33,3.13,2.95
42,10/25/11,2.69,2.68,3.76,3.87,3.67,3.29,3.32,3.33,3.13,2.95,3.08
43,10/26/11,2.68,3.76,3.87,3.67,3.29,3.32,3.33,3.13,2.95,3.08,3.2
45,10/28/11,3.76,3.87,3.67,3.29,3.32,3.33,3.13,2.95,3.08,3.2,3.19
46,10/29/11,3.87,3.67,3.29,3.32,3.33,3.13,2.95,3.08,3.2,3.19,3.3
47,10/30/11,3.67,3.29,3.32,3.33,3.13,2.95,3.08,3.2,3.19,3.3,3.35
48,10/31/11,3.29,3.32,3.33,3.13,2.95,3.08,3.2,3.19,3.3,3.35,3.35
49,11/1/11,3.32,3.33,3.13,2.95,3.08,3.2,3.19,3.3,3.35,3.35,2.76
52,11/4/11,3.33,3.13,2.95,3.08,3.2,3.19,3.3,3.35,3.35,2.76,2.63
53,11/5/11,3.13,2.95,3.08,3.2,3.19,3.3,3.35,3.35,2.76,2.63,2.98
54,11/6/11,2.95,3.08,3.2,3.19,3.3,3.35,3.35,2.76,2.63,2.98,2.78
56,11/8/11,3.08,3.2,3.19,3.3,3.35,3.35,2.76,2.63,2.98,2.78,2.54
57,11/9/11,3.2,3.19,3.3,3.35,3.35,2.76,2.63,2.98,2.78,2.54,2.45
58,11/10/11,3.19,3.3,3.35,3.35,2.76,2.63,2.98,2.78,2.54,2.45,2.37
59,11/11/11,3.3,3.35,3.35,2.76,2.63,2.98,2.78,2.54,2.45,2.37,2.44
60,11/12/11,3.35,3.35,2.76,2.63,2.98,2.78,2.54,2.45,2.37,2.44,2.47
61,11/13/11,3.35,2.76,2.63,2.98,2.78,2.54,2.45,2.37,2.44,2.47,2.87
62,11/14/11,2.76,2.63,2.98,2.78,2.54,2.45,2.37,2.44,2.47,2.87,3.15
63,11/15/11,2.63,2.98,2.78,2.54,2.45,2.37,2.44,2.47,2.87,3.15,2.77
64,11/16/11,2.98,2.78,2.54,2.45,2.37,2.44,2.47,2.87,3.15,2.77,2.7
65,11/17/11,2.78,2.54,2.45,2.37,2.44,2.47,2.87,3.15,2.77,2.7,2.77
66,11/18/11,2.54,2.45,2.37,2.44,2.47,2.87,3.15,2.77,2.7,2.77,3.19
67,11/19/11,2.45,2.37,2.44,2.47,2.87,3.15,2.77,2.7,2.77,3.19,3.45
68,11/20/11,2.37,2.44,2.47,2.87,3.15,2.77,2.7,2.77,3.19,3.45,3.15
69,11/21/11,2.44,2.47,2.87,3.15,2.77,2.7,2.77,3.19,3.45,3.15,2.93
70,11/22/11,2.47,2.87,3.15,2.77,2.7,2.77,3.19,3.45,3.15,2.93,2.95
72,11/24/11,2.87,3.15,2.77,2.7,2.77,3.19,3.45,3.15,2.93,2.95,3.05
73,11/25/11,3.15,2.77,2.7,2.77,3.19,3.45,3.15,2.93,2.95,3.05,3.2
74,11/26/11,2.77,2.7,2.77,3.19,3.45,3.15,2.93,2.95,3.05,3.2,3.17
76,11/28/11,2.7,2.77,3.19,3.45,3.15,2.93,2.95,3.05,3.2,3.17,3.12
77,11/29/11,2.77,3.19,3.45,3.15,2.93,2.95,3.05,3.2,3.17,3.12,3.28
78,11/30/11,3.19,3.45,3.15,2.93,2.95,3.05,3.2,3.17,3.12,3.28,3.51
79,12/1/11,3.45,3.15,2.93,2.95,3.05,3.2,3.17,3.12,3.28,3.51,3.45
80,12/2/11,3.15,2.93,2.95,3.05,3.2,3.17,3.12,3.28,3.51,3.45,3.44
81,12/3/11,2.93,2.95,3.05,3.2,3.17,3.12,3.28,3.51,3.45,3.44,3.44
83,12/5/11,2.95,3.05,3.2,3.17,3.12,3.28,3.51,3.45,3.44,3.44,3.44
84,12/6/11,3.05,3.2,3.17,3.12,3.28,3.51,3.45,3.44,3.44,3.44,3.4
85,12/7/11,3.2,3.17,3.12,3.28,3.51,3.45,3.44,3.44,3.44,3.4,3.81
86,12/8/11,3.17,3.12,3.28,3.51,3.45,3.44,3.44,3.44,3.4,3.81,4.57
88,12/10/11,3.12,3.28,3.51,3.45,3.44,3.44,3.44,3.4,3.81,4.57,4.38
89,12/11/11,3.28,3.51,3.45,3.44,3.44,3.44,3.4,3.81,4.57,4.38,4.18
90,12/12/11,3.51,3.45,3.44,3.44,3.44,3.4,3.81,4.57,4.38,4.18,4.19
91,12/13/11,3.45,3.44,3.44,3.44,3.4,3.81,4.57,4.38,4.18,4.19,4.33
92,12/14/11,3.44,3.44,3.44,3.4,3.81,4.57,4.38,4.18,4.19,4.33,4.3
93,12/15/11,3.44,3.44,3.4,3.81,4.57,4.38,4.18,4.19,4.33,4.3,4.3
94,12/16/11,3.44,3.4,3.81,4.57,4.38,4.18,4.19,4.33,4.3,4.3,4.31
96,12/18/11,3.4,3.81,4.57,4.38,4.18,4.19,4.33,4.3,4.3,4.31,4.27
97,12/19/11,3.81,4.57,4.38,4.18,4.19,4.33,4.3,4.3,4.31,4.27,4.35
98,12/20/11,4.57,4.38,4.18,4.19,4.33,4.3,4.3,4.31,4.27,4.35,4.23
99,12/21/11,4.38,4.18,4.19,4.33,4.3,4.3,4.31,4.27,4.35,4.23,4.46
100,12/22/11,4.18,4.19,4.33,4.3,4.3,4.31,4.27,4.35,4.23,4.46,4.9
101,12/23/11,4.19,4.33,4.3,4.3,4.31,4.27,4.35,4.23,4.46,4.9,5.0
102,12/24/11,4.33,4.3,4.3,4.31,4.27,4.35,4.23,4.46,4.9,5.0,5.28
103,12/25/11,4.3,4.3,4.31,4.27,4.35,4.23,4.46,4.9,5.0,5.28,5.3
104,12/26/11,4.3,4.31,4.27,4.35,4.23,4.46,4.9,5.0,5.28,5.3,6.2
105,12/27/11,4.31,4.27,4.35,4.23,4.46,4.9,5.0,5.28,5.3,6.2,6.58
106,12/28/11,4.27,4.35,4.23,4.46,4.9,5.0,5.28,5.3,6.2,6.58,6.8
107,12/29/11,4.35,4.23,4.46,4.9,5.0,5.28,5.3,6.2,6.58,6.8,6.92
108,12/30/11,4.23,4.46,4.9,5.0,5.28,5.3,6.2,6.58,6.8,6.92,6.63
109,12/31/11,4.46,4.9,5.0,5.28,5.3,6.2,6.58,6.8,6.92,6.63,6.63
110,1/1/12,4.9,5.0,5.28,5.3,6.2,6.58,6.8,6.92,6.63,6.63,7.05
111,1/2/12,5.0,5.28,5.3,6.2,6.58,6.8,6.92,6.63,6.63,7.05,7.27
112,1/3/12,5.28,5.3,6.2,6.58,6.8,6.92,6.63,6.63,7.05,7.27,7.04
113,1/4/12,5.3,6.2,6.58,6.8,6.92,6.63,6.63,7.05,7.27,7.04,6.44
114,1/5/12,6.2,6.58,6.8,6.92,6.63,6.63,7.05,7.27,7.04,6.44,7.15
115,1/6/12,6.58,6.8,6.92,6.63,6.63,7.05,7.27,7.04,6.44,7.15,6.86
116,1/7/12,6.8,6.92,6.63,6.63,7.05,7.27,7.04,6.44,7.15,6.86,6.13
117,1/8/12,6.92,6.63,6.63,7.05,7.27,7.04,6.44,7.15,6.86,6.13,6.15
118,1/9/12,6.63,6.63,7.05,7.27,7.04,6.44,7.15,6.86,6.13,6.15,6.25
119,1/10/12,6.63,7.05,7.27,7.04,6.44,7.15,6.86,6.13,6.15,6.25,6.75
120,1/11/12,7.05,7.27,7.04,6.44,7.15,6.86,6.13,6.15,6.25,6.75,6.29
121,1/12/12,7.27,7.04,6.44,7.15,6.86,6.13,6.15,6.25,6.75,6.29,6.17
122,1/13/12,7.04,6.44,7.15,6.86,6.13,6.15,6.25,6.75,6.29,6.17,6.41
123,1/14/12,6.44,7.15,6.86,6.13,6.15,6.25,6.75,6.29,6.17,6.41,6.44
124,1/15/12,7.15,6.86,6.13,6.15,6.25,6.75,6.29,6.17,6.41,6.44,6.24
125,1/16/12,6.86,6.13,6.15,6.25,6.75,6.29,6.17,6.41,6.44,6.24,6.15
126,1/17/12,6.13,6.15,6.25,6.75,6.29,6.17,6.41,6.44,6.24,6.15,5.74
127,1/18/12,6.15,6.25,6.75,6.29,6.17,6.41,6.44,6.24,6.15,5.74,4.91
128,1/19/12,6.25,6.75,6.29,6.17,6.41,6.44,6.24,6.15,5.74,4.91,5.52
129,1/20/12,6.75,6.29,6.17,6.41,6.44,6.24,6.15,5.74,4.91,5.52,5.54
130,1/21/12,6.29,6.17,6.41,6.44,6.24,6.15,5.74,4.91,5.52,5.54,5.78
131,1/22/12,6.17,6.41,6.44,6.24,6.15,5.74,4.91,5.52,5.54,5.78,5.9
132,1/23/12,6.41,6.44,6.24,6.15,5.74,4.91,5.52,5.54,5.78,5.9,6.14
133,1/24/12,6.44,6.24,6.15,5.74,4.91,5.52,5.54,5.78,5.9,6.14,6.11
134,1/25/12,6.24,6.15,5.74,4.91,5.52,5.54,5.78,5.9,6.14,6.11,6.03
135,1/26/12,6.15,5.74,4.91,5.52,5.54,5.78,5.9,6.14,6.11,6.03,5.86
136,1/27/12,5.74,4.91,5.52,5.54,5.78,5.9,6.14,6.11,6.03,5.86,5.55
137,1/28/12,4.91,5.52,5.54,5.78,5.9,6.14,6.11,6.03,5.86,5.55,5.67
138,1/29/12,5.52,5.54,5.78,5.9,6.14,6.11,6.03,5.86,5.55,5.67,5.71
139,1/30/12,5.54,5.78,5.9,6.14,6.11,6.03,5.86,5.55,5.67,5.71,5.78
140,1/31/12,5.78,5.9,6.14,6.11,6.03,5.86,5.55,5.67,5.71,5.78,5.88
141,2/1/12,5.9,6.14,6.11,6.03,5.86,5.55,5.67,5.71,5.78,5.88,5.52
142,2/2/12,6.14,6.11,6.03,5.86,5.55,5.67,5.71,5.78,5.88,5.52,5.73
143,2/3/12,6.11,6.03,5.86,5.55,5.67,5.71,5.78,5.88,5.52,5.73,5.73
144,2/4/12,6.03,5.86,5.55,5.67,5.71,5.78,5.88,5.52,5.73,5.73,5.16
145,2/5/12,5.86,5.55,5.67,5.71,5.78,5.88,5.52,5.73,5.73,5.16,4.95
146,2/6/12,5.55,5.67,5.71,5.78,5.88,5.52,5.73,5.73,5.16,4.95,4.63
147,2/7/12,5.67,5.71,5.78,5.88,5.52,5.73,5.73,5.16,4.95,4.63,4.71
148,2/8/12,5.71,5.78,5.88,5.52,5.73,5.73,5.16,4.95,4.63,4.71,4.41
149,2/9/12,5.78,5.88,5.52,5.73,5.73,5.16,4.95,4.63,4.71,4.41,4.33
150,2/10/12,5.88,5.52,5.73,5.73,5.16,4.95,4.63,4.71,4.41,4.33,4.56
151,2/11/12,5.52,5.73,5.73,5.16,4.95,4.63,4.71,4.41,4.33,4.56,4.45
152,2/12/12,5.73,5.73,5.16,4.95,4.63,4.71,4.41,4.33,4.56,4.45,4.53
153,2/13/12,5.73,5.16,4.95,4.63,4.71,4.41,4.33,4.56,4.45,4.53,4.92
154,2/14/12,5.16,4.95,4.63,4.71,4.41,4.33,4.56,4.45,4.53,4.92,5.15
155,2/15/12,4.95,4.63,4.71,4.41,4.33,4.56,4.45,4.53,4.92,5.15,5.01
156,2/16/12,4.63,4.71,4.41,4.33,4.56,4.45,4.53,4.92,5.15,5.01,4.92
157,2/17/12,4.71,4.41,4.33,4.56,4.45,4.53,4.92,5.15,5.01,4.92,5.06
158,2/18/12,4.41,4.33,4.56,4.45,4.53,4.92,5.15,5.01,4.92,5.06,5.02
159,2/19/12,4.33,4.56,4.45,4.53,4.92,5.15,5.01,4.92,5.06,5.02,4.95
160,2/20/12,4.56,4.45,4.53,4.92,5.15,5.01,4.92,5.06,5.02,4.95,5.0
161,2/21/12,4.45,4.53,4.92,5.15,5.01,4.92,5.06,5.02,4.95,5.0,4.74
162,2/22/12,4.53,4.92,5.15,5.01,4.92,5.06,5.02,4.95,5.0,4.74,4.68
163,2/23/12,4.92,5.15,5.01,4.92,5.06,5.02,4.95,5.0,4.74,4.68,4.8
164,2/24/12,5.15,5.01,4.92,5.06,5.02,4.95,5.0,4.74,4.68,4.8,4.96
165,2/25/12,5.01,4.92,5.06,5.02,4.95,5.0,4.74,4.68,4.8,4.96,4.99
166,2/26/12,4.92,5.06,5.02,4.95,5.0,4.74,4.68,4.8,4.96,4.99,5.07
167,2/27/12,5.06,5.02,4.95,5.0,4.74,4.68,4.8,4.96,4.99,5.07,4.96
168,2/28/12,5.02,4.95,5.0,4.74,4.68,4.8,4.96,4.99,5.07,4.96,5.03
169,2/29/12,4.95,5.0,4.74,4.68,4.8,4.96,4.99,5.07,4.96,5.03,4.86
170,3/1/12,5.0,4.74,4.68,4.8,4.96,4.99,5.07,4.96,5.03,4.86,4.9
171,3/2/12,4.74,4.68,4.8,4.96,4.99,5.07,4.96,5.03,4.86,4.9,4.96
172,3/3/12,4.68,4.8,4.96,4.99,5.07,4.96,5.03,4.86,4.9,4.96,5.06
173,3/4/12,4.8,4.96,4.99,5.07,4.96,5.03,4.86,4.9,4.96,5.06,5.35
174,3/5/12,4.96,4.99,5.07,4.96,5.03,4.86,4.9,4.96,5.06,5.35,5.36
175,3/6/12,4.99,5.07,4.96,5.03,4.86,4.9,4.96,5.06,5.35,5.36,5.36
176,3/7/12,5.07,4.96,5.03,4.86,4.9,4.96,5.06,5.35,5.36,5.36,5.39
177,3/8/12,4.96,5.03,4.86,4.9,4.96,5.06,5.35,5.36,5.36,5.39,5.34
178,3/9/12,5.03,4.86,4.9,4.96,5.06,5.35,5.36,5.36,5.39,5.34,5.07
179,3/10/12,4.86,4.9,4.96,5.06,5.35,5.36,5.36,5.39,5.34,5.07,4.89
180,3/11/12,4.9,4.96,5.06,5.35,5.36,5.36,5.39,5.34,5.07,4.89,4.93
181,3/12/12,4.96,5.06,5.35,5.36,5.36,5.39,5.34,5.07,4.89,4.93,4.87
182,3/13/12,5.06,5.35,5.36,5.36,5.39,5.34,5.07,4.89,4.93,4.87,4.63
183,3/14/12,5.35,5.36,5.36,5.39,5.34,5.07,4.89,4.93,4.87,4.63,4.8
184,3/15/12,5.36,5.36,5.39,5.34,5.07,4.89,4.93,4.87,4.63,4.8,4.58
185,3/16/12,5.36,5.39,5.34,5.07,4.89,4.93,4.87,4.63,4.8,4.58,4.57
186,3/17/12,5.39,5.34,5.07,4.89,4.93,4.87,4.63,4.8,4.58,4.57,4.79
187,3/18/12,5.34,5.07,4.89,4.93,4.87,4.63,4.8,4.58,4.57,4.79,4.86
188,3/19/12,5.07,4.89,4.93,4.87,4.63,4.8,4.58,4.57,4.79,4.86,4.84
189,3/20/12,4.89,4.93,4.87,4.63,4.8,4.58,4.57,4.79,4.86,4.84,4.86
190,3/21/12,4.93,4.87,4.63,4.8,4.58,4.57,4.79,4.86,4.84,4.86,4.91
191,3/22/12,4.87,4.63,4.8,4.58,4.57,4.79,4.86,4.84,4.86,4.91,4.79
192,3/23/12,4.63,4.8,4.58,4.57,4.79,4.86,4.84,4.86,4.91,4.79,4.93
193,3/24/12,4.8,4.58,4.57,4.79,4.86,4.84,4.86,4.91,4.79,4.93,4.97
194,3/25/12,4.58,4.57,4.79,4.86,4.84,4.86,4.91,4.79,4.93,4.97,4.92
195,3/26/12,4.57,4.79,4.86,4.84,4.86,4.91,4.79,4.93,4.97,4.92,4.97
196,3/27/12,4.79,4.86,4.84,4.86,4.91,4.79,4.93,4.97,4.92,4.97,4.88
197,3/28/12,4.86,4.84,4.86,4.91,4.79,4.93,4.97,4.92,4.97,4.88,4.79
198,3/29/12,4.84,4.86,4.91,4.79,4.93,4.97,4.92,4.97,4.88,4.79,4.75
199,3/30/12,4.86,4.91,4.79,4.93,4.97,4.92,4.97,4.88,4.79,4.75,4.77
200,3/31/12,4.91,4.79,4.93,4.97,4.92,4.97,4.88,4.79,4.75,4.77,4.81
201,4/1/12,4.79,4.93,4.97,4.92,4.97,4.88,4.79,4.75,4.77,4.81,4.87
202,4/2/12,4.93,4.97,4.92,4.97,4.88,4.79,4.75,4.77,4.81,4.87,4.85
203,4/3/12,4.97,4.92,4.97,4.88,4.79,4.75,4.77,4.81,4.87,4.85,4.89
204,4/4/12,4.92,4.97,4.88,4.79,4.75,4.77,4.81,4.87,4.85,4.89,4.97
205,4/5/12,4.97,4.88,4.79,4.75,4.77,4.81,4.87,4.85,4.89,4.97,4.96
206,4/6/12,4.88,4.79,4.75,4.77,4.81,4.87,4.85,4.89,4.97,4.96,4.96
207,4/7/12,4.79,4.75,4.77,4.81,4.87,4.85,4.89,4.97,4.96,4.96,4.98
208,4/8/12,4.75,4.77,4.81,4.87,4.85,4.89,4.97,4.96,4.96,4.98,5.1
209,4/9/12,4.77,4.81,4.87,4.85,4.89,4.97,4.96,4.96,4.98,5.1,5.11
210,4/10/12,4.81,4.87,4.85,4.89,4.97,4.96,4.96,4.98,5.1,5.11,5.17
211,4/11/12,4.87,4.85,4.89,4.97,4.96,4.96,4.98,5.1,5.11,5.17,5.26
212,4/12/12,4.85,4.89,4.97,4.96,4.96,4.98,5.1,5.11,5.17,5.26,5.21
213,4/13/12,4.89,4.97,4.96,4.96,4.98,5.1,5.11,5.17,5.26,5.21,5.14
214,4/14/12,4.97,4.96,4.96,4.98,5.1,5.11,5.17,5.26,5.21,5.14,5.08
215,4/15/12,4.96,4.96,4.98,5.1,5.11,5.17,5.26,5.21,5.14,5.08,5.01
216,4/16/12,4.96,4.98,5.1,5.11,5.17,5.26,5.21,5.14,5.08,5.01,5.02
217,4/17/12,4.98,5.1,5.11,5.17,5.26,5.21,5.14,5.08,5.01,5.02,5.01
218,4/18/12,5.1,5.11,5.17,5.26,5.21,5.14,5.08,5.01,5.02,5.01,4.96
219,4/19/12,5.11,5.17,5.26,5.21,5.14,5.08,5.01,5.02,5.01,4.96,4.88
220,4/20/12,5.17,5.26,5.21,5.14,5.08,5.01,5.02,5.01,4.96,4.88,4.95
221,4/21/12,5.26,5.21,5.14,5.08,5.01,5.02,5.01,4.96,4.88,4.95,4.97
222,4/22/12,5.21,5.14,5.08,5.01,5.02,5.01,4.96,4.88,4.95,4.97,5.07
223,4/23/12,5.14,5.08,5.01,5.02,5.01,4.96,4.88,4.95,4.97,5.07,5.11
224,4/24/12,5.08,5.01,5.02,5.01,4.96,4.88,4.95,4.97,5.07,5.11,5.11
225,4/25/12,5.01,5.02,5.01,4.96,4.88,4.95,4.97,5.07,5.11,5.11,5.07
226,4/26/12,5.02,5.01,4.96,4.88,4.95,4.97,5.07,5.11,5.11,5.07,5.05
227,4/27/12,5.01,4.96,4.88,4.95,4.97,5.07,5.11,5.11,5.07,5.05,5.03
228,4/28/12,4.96,4.88,4.95,4.97,5.07,5.11,5.11,5.07,5.05,5.03,5.05
229,4/29/12,4.88,4.95,4.97,5.07,5.11,5.11,5.07,5.05,5.03,5.05,5.04
230,4/30/12,4.95,4.97,5.07,5.11,5.11,5.07,5.05,5.03,5.05,5.04,4.99
231,5/1/12,4.97,5.07,5.11,5.11,5.07,5.05,5.03,5.05,5.04,4.99,4.93
232,5/2/12,5.07,5.11,5.11,5.07,5.05,5.03,5.05,5.04,4.99,4.93,4.93
233,5/3/12,5.11,5.11,5.07,5.05,5.03,5.05,5.04,4.99,4.93,4.93,4.94
234,5/4/12,5.11,5.07,5.05,5.03,5.05,5.04,4.99,4.93,4.93,4.94,4.93
235,5/5/12,5.07,5.05,5.03,5.05,5.04,4.99,4.93,4.93,4.94,4.93,4.96
236,5/6/12,5.05,5.03,5.05,5.04,4.99,4.93,4.93,4.94,4.93,4.96,5.01
237,5/7/12,5.03,5.05,5.04,4.99,4.93,4.93,4.94,4.93,4.96,5.01,5.03
238,5/8/12,5.05,5.04,4.99,4.93,4.93,4.94,4.93,4.96,5.01,5.03,5.05
239,5/9/12,5.04,4.99,4.93,4.93,4.94,4.93,4.96,5.01,5.03,5.05,5.07
240,5/10/12,4.99,4.93,4.93,4.94,4.93,4.96,5.01,5.03,5.05,5.07,5.07
241,5/11/12,4.93,4.93,4.94,4.93,4.96,5.01,5.03,5.05,5.07,5.07,5.06
242,5/12/12,4.93,4.94,4.93,4.96,5.01,5.03,5.05,5.07,5.07,5.06,5.05
243,5/13/12,4.94,4.93,4.96,5.01,5.03,5.05,5.07,5.07,5.06,5.05,5.06
244,5/14/12,4.93,4.96,5.01,5.03,5.05,5.07,5.07,5.06,5.05,5.06,5.09
245,5/15/12,4.96,5.01,5.03,5.05,5.07,5.07,5.06,5.05,5.06,5.09,5.09
246,5/16/12,5.01,5.03,5.05,5.07,5.07,5.06,5.05,5.06,5.09,5.09,5.09
247,5/17/12,5.03,5.05,5.07,5.07,5.06,5.05,5.06,5.09,5.09,5.09,5.05
248,5/18/12,5.05,5.07,5.07,5.06,5.05,5.06,5.09,5.09,5.09,5.05,5.08
249,5/19/12,5.07,5.07,5.06,5.05,5.06,5.09,5.09,5.09,5.05,5.08,5.07
250,5/20/12,5.07,5.06,5.05,5.06,5.09,5.09,5.09,5.05,5.08,5.07,5.12
251,5/21/12,5.06,5.05,5.06,5.09,5.09,5.09,5.05,5.08,5.07,5.12,5.13
252,5/22/12,5.05,5.06,5.09,5.09,5.09,5.05,5.08,5.07,5.12,5.13,5.21
253,5/23/12,5.06,5.09,5.09,5.09,5.05,5.08,5.07,5.12,5.13,5.21,5.19
254,5/24/12,5.09,5.09,5.09,5.05,5.08,5.07,5.12,5.13,5.21,5.19,5.19
255,5/25/12,5.09,5.09,5.05,5.08,5.07,5.12,5.13,5.21,5.19,5.19,5.18
256,5/26/12,5.09,5.05,5.08,5.07,5.12,5.13,5.21,5.19,5.19,5.18,5.36
257,5/27/12,5.05,5.08,5.07,5.12,5.13,5.21,5.19,5.19,5.18,5.36,5.44
258,5/28/12,5.08,5.07,5.12,5.13,5.21,5.19,5.19,5.18,5.36,5.44,5.47
259,5/29/12,5.07,5.12,5.13,5.21,5.19,5.19,5.18,5.36,5.44,5.47,5.56
260,5/30/12,5.12,5.13,5.21,5.19,5.19,5.18,5.36,5.44,5.47,5.56,5.57
261,5/31/12,5.13,5.21,5.19,5.19,5.18,5.36,5.44,5.47,5.56,5.57,5.46
262,6/1/12,5.21,5.19,5.19,5.18,5.36,5.44,5.47,5.56,5.57,5.46,5.46
263,6/2/12,5.19,5.19,5.18,5.36,5.44,5.47,5.56,5.57,5.46,5.46,5.87
264,6/3/12,5.19,5.18,5.36,5.44,5.47,5.56,5.57,5.46,5.46,5.87,5.86
265,6/4/12,5.18,5.36,5.44,5.47,5.56,5.57,5.46,5.46,5.87,5.86,5.84
266,6/5/12,5.36,5.44,5.47,5.56,5.57,5.46,5.46,5.87,5.86,5.84,5.86
267,6/6/12,5.44,5.47,5.56,5.57,5.46,5.46,5.87,5.86,5.84,5.86,6.36
268,6/7/12,5.47,5.56,5.57,5.46,5.46,5.87,5.86,5.84,5.86,6.36,6.32
269,6/8/12,5.56,5.57,5.46,5.46,5.87,5.86,5.84,5.86,6.36,6.32,6.14
270,6/9/12,5.57,5.46,5.46,5.87,5.86,5.84,5.86,6.36,6.32,6.14,6.41
271,6/10/12,5.46,5.46,5.87,5.86,5.84,5.86,6.36,6.32,6.14,6.41,6.54
272,6/11/12,5.46,5.87,5.86,5.84,5.86,6.36,6.32,6.14,6.41,6.54,6.66
273,6/12/12,5.87,5.86,5.84,5.86,6.36,6.32,6.14,6.41,6.54,6.66,6.61
274,6/13/12,5.86,5.84,5.86,6.36,6.32,6.14,6.41,6.54,6.66,6.61,6.45
275,6/14/12,5.84,5.86,6.36,6.32,6.14,6.41,6.54,6.66,6.61,6.45,6.39
276,6/15/12,5.86,6.36,6.32,6.14,6.41,6.54,6.66,6.61,6.45,6.39,6.25
277,6/16/12,6.36,6.32,6.14,6.41,6.54,6.66,6.61,6.45,6.39,6.25,6.33
278,6/17/12,6.32,6.14,6.41,6.54,6.66,6.61,6.45,6.39,6.25,6.33,6.54
279,6/18/12,6.14,6.41,6.54,6.66,6.61,6.45,6.39,6.25,6.33,6.54,6.28
280,6/19/12,6.41,6.54,6.66,6.61,6.45,6.39,6.25,6.33,6.54,6.28,6.51
281,6/20/12,6.54,6.66,6.61,6.45,6.39,6.25,6.33,6.54,6.28,6.51,6.53
282,6/21/12,6.66,6.61,6.45,6.39,6.25,6.33,6.54,6.28,6.51,6.53,6.55
283,6/22/12,6.61,6.45,6.39,6.25,6.33,6.54,6.28,6.51,6.53,6.55,6.59
284,6/23/12,6.45,6.39,6.25,6.33,6.54,6.28,6.51,6.53,6.55,6.59,6.57
285,6/24/12,6.39,6.25,6.33,6.54,6.28,6.51,6.53,6.55,6.59,6.57,6.47
